,DrawNumber,DrawDate,Ball1,Ball2,Ball3,Ball4,Ball5,Ball6
0,1,1996-03-11 00:00:00,4,5,30,33,41,52
1,2,1996-03-18 00:00:00,9,37,39,41,43,49
2,3,1996-03-25 00:00:00,10,11,29,30,36,47
3,4,1996-04-01 00:00:00,1,5,6,27,42,59
4,5,1996-04-08 00:00:00,1,2,6,16,19,46
5,6,1996-04-15 00:00:00,7,13,19,22,40,47
6,7,1996-04-22 00:00:00,3,5,20,21,38,56
7,8,1996-04-29 00:00:00,4,17,37,38,47,53
8,9,1996-05-06 00:00:00,8,43,54,55,56,60
9,10,1996-05-13 00:00:00,4,18,21,25,38,57
10,11,1996-05-20 00:00:00,15,25,37,38,58,59
11,12,1996-05-27 00:00:00,4,16,19,20,27,43
12,13,1996-06-03 00:00:00,18,32,47,50,54,56
13,14,1996-06-10 00:00:00,2,16,23,27,47,53
14,15,1996-06-17 00:00:00,12,33,35,51,52,60
15,16,1996-06-24 00:00:00,20,32,34,49,58,60
16,17,1996-07-01 00:00:00,6,10,13,19,20,51
17,18,1996-07-08 00:00:00,23,27,36,37,42,56
18,19,1996-07-15 00:00:00,5,10,12,24,25,60
19,20,1996-07-22 00:00:00,11,25,28,30,33,51
20,21,1996-07-29 00:00:00,6,33,36,46,49,53
21,22,1996-08-05 00:00:00,1,9,31,38,46,56
22,23,1996-08-12 00:00:00,17,37,39,51,52,59
23,24,1996-08-19 00:00:00,1,8,14,28,33,43
24,25,1996-08-25 00:00:00,24,43,50,54,55,56
25,26,1996-09-01 00:00:00,10,22,50,53,57,58
26,27,1996-09-08 00:00:00,13,17,20,33,44,51
27,28,1996-09-15 00:00:00,3,6,22,24,54,60
28,29,1996-09-22 00:00:00,3,8,14,43,56,58
29,30,1996-09-29 00:00:00,7,14,15,29,38,50
30,31,1996-10-06 00:00:00,17,19,28,45,48,56
31,32,1996-10-13 00:00:00,5,14,33,36,43,44
32,33,1996-10-20 00:00:00,5,17,33,39,42,49
33,34,1996-10-27 00:00:00,13,15,17,40,53,57
34,35,1996-11-03 00:00:00,4,16,21,23,54,57
35,36,1996-11-10 00:00:00,3,13,17,25,29,51
36,37,1996-11-17 00:00:00,6,7,22,38,52,60
37,38,1996-11-24 00:00:00,10,42,43,45,54,55
38,39,1996-12-01 00:00:00,12,16,37,45,52,56
39,40,1996-12-08 00:00:00,3,5,8,12,46,47
40,41,1996-12-15 00:00:00,12,26,35,38,39,47
41,42,1996-12-22 00:00:00,7,11,19,24,33,36
42,43,1996-12-29 00:00:00,2,6,17,25,26,58
43,44,1997-01-05 00:00:00,14,18,29,38,44,47
44,45,1997-01-12 00:00:00,7,30,37,44,53,55
45,46,1997-01-19 00:00:00,1,23,24,32,46,60
46,47,1997-01-26 00:00:00,3,17,25,35,48,56
47,48,1997-02-02 00:00:00,2,5,28,34,47,50
48,49,1997-02-09 00:00:00,7,13,33,35,43,55
49,50,1997-02-16 00:00:00,6,16,21,44,57,58
50,51,1997-02-23 00:00:00,17,23,24,25,42,47
51,52,1997-03-02 00:00:00,15,30,38,46,58,59
52,53,1997-03-09 00:00:00,3,13,16,38,42,46
53,54,1997-03-16 00:00:00,5,9,18,21,36,56
54,55,1997-03-23 00:00:00,2,14,23,29,38,52
55,56,1997-03-30 00:00:00,2,7,20,35,51,59
56,57,1997-04-06 00:00:00,7,16,17,27,34,59
57,58,1997-04-13 00:00:00,12,27,30,37,44,49
58,59,1997-04-20 00:00:00,2,8,13,28,34,54
59,60,1997-04-27 00:00:00,3,14,15,20,21,38
60,61,1997-05-04 00:00:00,8,18,29,42,44,59
61,62,1997-05-11 00:00:00,6,8,13,24,31,52
62,63,1997-05-18 00:00:00,9,25,26,40,41,49
63,64,1997-05-25 00:00:00,8,12,23,50,54,60
64,65,1997-06-01 00:00:00,1,5,20,25,32,34
65,66,1997-06-08 00:00:00,12,13,15,26,33,48
66,67,1997-06-15 00:00:00,12,14,17,27,47,52
67,68,1997-06-22 00:00:00,1,3,12,13,53,59
68,69,1997-06-29 00:00:00,25,34,45,53,56,58
69,70,1997-07-06 00:00:00,17,23,27,40,43,58
70,71,1997-07-13 00:00:00,16,27,33,43,45,53
71,72,1997-07-20 00:00:00,1,19,34,43,44,48
72,73,1997-07-27 00:00:00,25,26,28,45,51,57
73,74,1997-08-03 00:00:00,2,24,34,37,38,50
74,75,1997-08-10 00:00:00,21,24,35,36,37,49
75,76,1997-08-17 00:00:00,8,17,18,23,33,53
76,77,1997-08-24 00:00:00,21,29,40,49,54,57
77,78,1997-08-31 00:00:00,12,22,25,31,32,46
78,79,1997-09-07 00:00:00,2,13,17,25,31,43
79,80,1997-09-14 00:00:00,23,28,37,40,48,51
80,81,1997-09-21 00:00:00,10,23,41,47,54,60
81,82,1997-09-28 00:00:00,15,18,29,36,51,53
82,83,1997-10-05 00:00:00,4,15,16,24,42,57
83,84,1997-10-12 00:00:00,4,6,10,25,34,40
84,85,1997-10-19 00:00:00,6,15,30,37,45,47
85,86,1997-10-26 00:00:00,6,21,22,34,36,54
86,87,1997-11-02 00:00:00,4,5,11,28,32,40
87,88,1997-11-09 00:00:00,4,18,29,37,43,45
88,89,1997-11-16 00:00:00,13,34,42,44,55,59
89,90,1997-11-23 00:00:00,9,21,26,40,52,54
90,91,1997-11-30 00:00:00,2,4,10,35,39,60
91,92,1997-12-07 00:00:00,1,3,5,23,24,51
92,93,1997-12-14 00:00:00,2,22,28,31,36,53
93,94,1997-12-21 00:00:00,8,18,28,51,52,55
94,95,1997-12-28 00:00:00,6,40,45,46,50,60
95,96,1998-01-04 00:00:00,4,7,26,40,42,58
96,97,1998-01-11 00:00:00,5,11,14,35,53,56
97,98,1998-01-18 00:00:00,13,14,31,33,35,43
98,99,1998-01-25 00:00:00,11,24,30,33,46,60
99,100,1998-02-01 00:00:00,14,29,30,46,48,51
100,101,1998-02-08 00:00:00,1,18,29,31,37,39
101,102,1998-02-15 00:00:00,19,20,37,42,44,56
102,103,1998-02-22 00:00:00,1,7,9,49,54,57
103,104,1998-03-01 00:00:00,1,4,13,21,38,52
104,105,1998-03-08 00:00:00,3,13,31,43,46,49
105,106,1998-03-15 00:00:00,5,16,24,35,38,39
106,107,1998-03-22 00:00:00,2,4,16,24,51,52
107,108,1998-03-29 00:00:00,21,24,29,34,59,60
108,109,1998-04-04 00:00:00,1,13,44,48,49,54
109,110,1998-04-11 00:00:00,18,31,43,52,57,58
